"","GSM944836","GSM944850","GSM944857","GSM944843","GSM944854","GSM944847","GSM944833","GSM944840","GSM944835","GSM944849","GSM944863","GSM944842","GSM944845","GSM944838","GSM944859","GSM944831","GSM944865","GSM944837","GSM944858","GSM944851","GSM944862","GSM944855","GSM944841","GSM944834"
"1415773_at",5.7139562668022,5.93377141685214,5.04900109203808,5.71737515110436,5.87063253950203,6.21525156094334,5.96299493671434,5.76957779822407,7.07750400536401,5.36603075897381,5.88659849621372,5.83942297874478,6.34079377892549,6.02520456205079,6.21643175352458,6.14258189808776,5.65860327239385,6.08371542848884,5.63627109929112,5.49807098513942,6.05753009621139,6.49186686462782,6.82627267233414,6.16941885168248
"1415775_at",8.51818685793974,8.03877040235288,8.14821046084839,7.92119953253002,8.76394638027617,9.02780690794156,9.10153451453107,8.62202936073319,8.58417412800856,7.93982021917301,8.24270863977403,7.80334648867585,8.85133441478037,9.05507300680991,8.99689661878476,9.13537183737503,8.07186172185804,8.68791139808206,7.89325656491698,8.02407386883421,8.79474397372944,9.36447496027582,9.22860036708757,9.09383846945396
"1415793_at",8.19301953847785,8.20694672732477,8.50387711382639,8.24884857437783,7.80880367098974,7.83170140190603,7.77354018363017,7.95351406017571,8.71238145566872,8.8291245519491,9.55338805280502,9.76870542565153,7.86636671383121,7.98567755153846,7.83683480437386,7.95891137549489,8.46859505186706,8.21461539349683,8.71653526620707,8.39108946898424,7.96295182470096,8.11662411866924,8.08928680393404,7.88170950092276
"1415794_a_at",7.2451571898796,7.419392799784,7.43388101125793,7.59534079392182,8.26589518026469,8.48309724486307,8.27643263351184,7.94434244472651,8.24126549351,7.24713776641162,7.81754781280144,8.34133059377413,8.24337339696446,8.23382983675305,8.26784723748172,8.36267929604221,7.33181217966019,7.26422281059073,7.59304783825047,7.28490168668492,8.14732527177625,8.65589418564364,8.56309428673441,8.30699118187674
"1415802_at",10.2918267952873,9.30103282851131,8.67256120884877,10.5668368837317,9.27083995862977,9.61285285384858,10.5842183804087,10.5247451092574,10.5815768151263,10.1053445446821,9.42679818837921,9.50370359151584,9.92642574110454,9.47307291194224,9.78930201729768,9.88779079843092,10.1993636247085,9.64150764128178,9.34145351476769,10.3311574607223,10.824044141194,10.3359740754398,9.37202044324481,10.0148432999973
"1415822_at",6.35511646955431,6.27528311099146,6.14350168445484,6.4751007705468,7.16448140781899,7.40690805547706,7.14290840760405,7.09150983539411,7.02761001040596,6.32153322846081,6.37851759878899,6.46226398558426,7.31772660412423,7.04417244477086,7.62932429542961,7.39387090538167,6.3313172658378,6.43523346538742,7.22158081868203,6.55940600348761,7.07944312466226,7.61290951053538,7.58133927223468,7.12810351053134
"1415837_at",5.41085517359621,4.75109695798041,3.47375777279034,3.83982627719877,5.71425472580196,6.0906545120437,5.41013698824845,6.02293776799232,5.33782221882234,5.82181034741969,5.31759955963434,5.55831958971371,5.01161806504056,4.62890181648154,5.22667340984191,5.02263442907221,4.80681206445355,5.355038796098,4.83690537866112,3.97021120279775,5.30542054680133,6.67758331543157,5.870482511344,5.47260932950349
"1415838_at",11.378563888729,11.1248313285283,10.7204995740688,11.0558093266085,9.64959651838184,9.90494930580054,9.82327383487169,10.2282958613604,9.37907531605038,10.8253608196064,9.82464886509845,9.60499960332342,10.6561862641785,10.4732029922971,10.667963089558,10.3616245019673,11.0548624865564,11.1861236243132,10.0307201365751,10.8270389141879,10.2864369860714,10.0210317126519,9.8847672810619,10.3183298674285
"1415839_a_at",8.51279328418629,9.82964602441719,8.72290249614262,8.45454276268416,9.17453544662201,9.49852590082563,9.41736185383629,9.00982401681731,9.10095406588411,8.5746280909052,8.29976005820472,8.36923096492978,9.33741362374751,9.18353852885331,9.63094844044307,9.40739607463499,8.2052313791426,8.68884415524067,8.38903623801938,8.2605044238451,9.32585723845849,9.67885121235839,9.82347320028312,9.53715665612754
"1415840_at",8.75767287338086,9.16226065533982,8.9455042913043,8.91731680325518,9.88044779749449,9.90055728396285,9.64282100453316,9.49714157346116,9.67529434861701,8.89790457594564,9.0299707774795,8.85003898678425,9.74604526872587,9.68431151134789,9.80517711606869,9.84222183302927,8.93331989660295,9.24601492617401,9.16719420130054,8.87484824165072,9.58499101773645,10.0995585250044,10.0820546605106,9.7487124277517
"1415869_a_at",8.51420226649718,8.62189685440355,8.52682268471585,8.30571954047505,9.49873807756323,9.52691687676351,9.17424122227616,9.33499317075634,8.66315749096592,8.39091376774762,8.38016529399064,8.2475578319268,9.46913169262133,9.35621312740196,9.45506896707943,9.51823141326406,8.3254899222825,8.64300359040791,8.29575323624962,8.36423416971499,9.32259079286723,9.62372971337622,9.75460235840784,9.34308969483283
"1415871_at",9.92351222768054,9.83604932589094,9.90265992032854,10.3812453244704,8.33725577501824,8.7397089490582,8.47124570261201,8.98311567238139,9.73607565511978,10.2237459432696,10.9616274794519,10.8510453190256,8.25316069733898,7.72216306758744,8.43784020126061,8.21091463482225,10.5254823168141,10.0092243194009,10.3131345850247,10.4521234762006,8.43397513922002,9.20395691626338,8.84705530340059,8.35595690722453
"1415872_at",8.05614471982758,7.72621371701875,8.27201130180127,7.88663174249961,8.9059689989291,9.04719991269259,9.11823205718576,8.5245788179796,8.67986203725139,7.61217958304876,8.17636970861974,7.85051590842003,9.16240918868522,8.93117571156095,9.35107582544308,9.33299156272446,7.9969493778364,8.23338341138326,8.39124105082746,7.98388104646093,8.97664160878736,9.50915517771697,9.36953670201004,9.17004641968986
